'Datetime','N','P','Z','D'
1.262297660000000000e+09,3.828321240936193026e-02,4.083371150844682940e-01,1.877955011225544535e+00,1.675424661280626948e+00
1.262297661000000000e+09,4.245946439059702232e-02,3.922445776278233875e-01,1.865196886439244528e+00,1.700099071542336748e+00
1.262297662000000000e+09,4.757247305242874591e-02,3.776391296093775107e-01,1.852085346388967046e+00,1.722703050949228265e+00
1.262297663000000000e+09,5.380912217976531464e-02,3.644978207430421557e-01,1.838686994517751527e+00,1.743006062559442793e+00
1.262297664000000000e+09,6.138860349161699703e-02,3.528148505919129208e-01,1.825060177390873228e+00,1.760736368525598561e+00
1.262297665000000000e+09,7.053014478050687042e-02,3.426011353552910754e-01,1.811256184876221642e+00,1.775612534987981883e+00
1.262297666000000000e+09,8.095368912335321188e-02,3.338772787225536276e-01,1.797341957448227445e+00,1.787827074705867103e+00
1.262297667000000000e+09,9.336073062243699372e-02,3.267002812180551663e-01,1.783354605299176887e+00,1.796584382860332507e+00
1.262297668000000000e+09,1.087334376786519841e-01,3.211642560170570038e-01,1.769322615681155231e+00,1.800779690623137475e+00
1.262297669000000000e+09,1.278997736419877906e-01,3.173955732625623471e-01,1.755280816028769175e+00,1.799423837066682186e+00
1.262297670000000000e+09,1.515334968115298608e-01,3.155528600653169091e-01,1.741270373959147744e+00,1.791643269164006957e+00
1.262297671000000000e+09,1.801541604354594817e-01,3.158270005038084638e-01,1.727338797271940951e+00,1.776680041788792686e+00
1.262297672000000000e+09,2.141271127110537520e-01,3.184411356242670132e-01,1.713539933949320471e+00,1.753891817715360402e+00
1.262297673000000000e+09,2.536634967846855826e-01,3.236506634406648431e-01,1.699933972155979633e+00,1.722751867618671495e+00
1.262297674000000000e+09,2.988202507518237239e-01,3.317432389347163557e-01,1.686587440239133429e+00,1.682849070074327713e+00
1.262297675000000000e+09,3.495001076570328213e-01,3.430387740558782372e-01,1.673573206728518725e+00,1.633887911558571604e+00
1.262297676000000000e+09,4.054515954939732492e-01,3.578894377213493461e-01,1.660970480336393162e+00,1.575688486448285630e+00
1.262297677000000000e+09,4.662690372054013044e-01,3.766796558160707686e-01,1.648864809957536481e+00,1.508186497020992833e+00
1.262297678000000000e+09,5.310930604051491422e-01,3.997942863161403348e-01,1.637354787219253094e+00,1.431757866059459205e+00
1.262297679000000000e+09,5.973504933520487059e-01,4.275242480089722075e-01,1.626578980884689773e+00,1.348546277754290923e+00
1.262297680000000000e+09,6.622047325257983674e-01,4.601760368483766017e-01,1.616698271898614703e+00,1.260920958727211882e+00
1.262297681000000000e+09,7.225683291804078090e-01,4.979942062543974424e-01,1.607907310833461167e+00,1.171530153731735080e+00
1.262297682000000000e+09,7.750957887658685985e-01,5.411449372283508863e-01,1.600435040107513363e+00,1.083324233898268707e+00
1.262297683000000000e+09,8.165985401310810188e-01,5.896693727148830666e-01,1.594549450638135912e+00,9.991826365159017787e-01
1.262297684000000000e+09,8.443711836005626248e-01,6.434377421098640415e-01,1.590565989361104604e+00,9.216250849284705060e-01
1.262297685000000000e+09,8.564670410956279900e-01,7.020469752965095012e-01,1.588830478666755308e+00,8.526555049411090881e-01
1.262297686000000000e+09,8.517194526625817552e-01,7.648293396543651701e-01,1.589705927507630623e+00,7.937452801754241172e-01
1.262297687000000000e+09,8.298874703947822784e-01,8.308273420820362354e-01,1.593547793074933105e+00,7.457373944482499351e-01
1.262297688000000000e+09,7.918962723827189798e-01,8.983804210736551221e-01,1.600831019374192365e+00,7.088922871694353089e-01
1.262297689000000000e+09,7.394437760181784558e-01,9.654338563745151758e-01,1.611904473004725169e+00,6.832178946025828647e-01
1.262297690000000000e+09,6.749485993388892879e-01,1.029601826038914592e+00,1.626950059299572926e+00,6.684995153226248599e-01
1.262297691000000000e+09,6.015500610285211547e-01,1.088167406430156303e+00,1.645982722325501024e+00,6.642998102158230722e-01
1.262297692000000000e+09,5.231428679087772871e-01,1.137995245935332855e+00,1.668871976275567937e+00,6.699899098803238084e-01
